Name,InChIKey,SuperClass,Class,SubClass,ID,,In Cocoa,Pesticides,Metabolite or external environment,Heavy Metals in Water,General,SUM
2-pentanone,XNLICIUVMPYHGG-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
2-pentyl acetate,GQKZRWSUJHVIPE-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,Carboxylic Acid Derivatives,0,,,,,,,
2-phenyl-2-butenal,DYAOGZLLMZQVHY-MBXJOHMKSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
2-phenylacetic acid,WLJVXDMOQOGPHL-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,,0,,,,,,,
2-phenylethanol,WRMNZCZEMHIOCP-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Benzyl Alcohols,0,,,,,,,
2-phenylethyl acetate,MDHYEMXUFSJLGV-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,,0,,,,,,,
"3,5-dihydroxy-6-methyl-2,3-dihydropyran-4-one",VOLMSPGWNYJHQQ-UHFFFAOYSA-N,Organoheterocyclic Compounds,Pyrans,Pyarnones and Derivatives,0,,,,,,,
"3,5-dimethyl-benzaldehyde",NBEFMISJJNGCIZ-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Benzoyl Derivatives,0,,,,,,,
"3,5-dimethyldihydrofuran-2-one",IYJMJJJBGWGVKX-UHFFFAOYSA-N,Organoheterocyclic Compounds,Lactones,,0,,,,,,,
"3,5-dimethyloctane",VRHRGVJOUHJULC-UHFFFAOYSA-N  ,Hydrocarbons ,Saturated Hydrocarbons,Alkanes,0,,,,,,,
"3-ethyl-2,5-dimethylpyrazine",WHMWOHBXYIZFPF-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
3-methylbutanal,YGHRJJRRZDOVPD-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
3-methylcatechol,PGSWEKYNAOWQDF-UHFFFAOYSA-N,Benzenoids,Phenols,Catechols,0,,,,,,,
3-methylindole,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,Organoheterocyclic Compounds,Indoles,Indoles,0,,,,,,,
4-ethylcatechol,HFLGBNBLMBSXEM-UHFFFAOYSA-N,Benzenoids,Phenols,Catechols,0,,,,,,,
4-hydroxy-2-butanone,LVSQXDHWDCMMRJ-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
4-methylcatechol,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,Benzenoids,Phenols,Catechols,0,,,,,,,
4-methylheptane,CHBAWFGIXDBEBT-UHFFFAOYSA-N,Hydrocarbons ,Saturated Hydrocarbons,Alkanes,0,,,,,,,
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,Organoheterocyclic Compounds,Azoles,Imidazoles,0,,,,,,,
4-methylphenol,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Benzenoids,Phenols,Cresols,0,,,,,,,
5-hydroxymethylfurfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
5-methyl-2-phenyl-2-hexenal,YURDCJXYOLERLO-LCYFTJDESA-N  ,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
5-methylfurfural,OUDFNZMQXZILJD-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
8-hydroxy-3-methylisochroman-1-one,AIFNAMVERSBWPS-UHFFFAOYSA-N,Organoheterocyclic Compounds,Pyrans,Pyarnones and Derivatives,0,,,,,,,
acetaldehyde,IKHGUXGNUITLKF-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,Carboxylic Acid Derivatives,0,,,,,,,
acetoin,ROWKJAVDOGWPAT-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbonyl Compounds,0,,,,,,,
acrylamide,HRPVXLWXLXDGHG-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboximidic Acids and Derivatives,Carboximidic Acids,0,,,,,,,
aflatoxin b1,OQIQSTLJSLGHID-UHFFFAOYSA-N,,Toxins,,6,,,,,,,
aflatoxin b2,WWSYXEZEXMQWHT-WNWIJWBNSA-N,,Toxins,,6,,,,,,,
aflatoxin g1,XWIYFDMXXLINPU-WNWIJWBNSA-N,,Toxins,,6,,,,,,,
aflatoxin g2,WPCVRWVBBXIRMA-WNWIJWBNSA-N,,Toxins,,6,,,,,,,
aldrin,QBYJBZPUGVGKQQ-SJJAEHHWSA-N,,Pesticides,,3,,,,,,,
alpha-chlordane,BIWJNBZANLAXMG-UHFFFAOYSA-N,,Pesticides,,3,,,,,,,
alpha-hexachlorobenzene,CKAPSXZOOQJIBF-UHFFFAOYSA-N,,Pesticides,,3,,,,,,,
alpha-pinene,GRWFGVWFFZKLTI-UHFFFAOYSA-N,Lipids and lipid-like molecules,Prenol Lipids,Monoterpenoids,0,,,,,,,
aluminium,XAGFODPZIPBFFR-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Post-Transition Metal Comounds,,0,,,,,,,
apigenin-6-c-beta-d-glucopyranoside,MYXNWGACZJSMBT-VJXVFPJBSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,
apigenin-8-c-beta-d-glucopyranoside,SGEWCQFRYRRZDC-VPRICQMDSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,
arachidic acid,VKOBVWXKNCXXDE-UHFFFAOYSA-N,Lipids and lipid-like molecules,Fatty Acyls,Fatty Acids and Conjugates,0,,,,,,,
arsenic,RQNWIZPPADIBDY-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Metalloid Compounds,,5,,,,,,,
asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,
aspartic acid,CKLJMWTZIZZHCS-REOHCLBHSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,
azine,JUJWROOIHBZHMG-UHFFFAOYSA-N,Organoheterocyclic Compounds,Pyridines,Pyridines and Derivatives ,0,,,,,,,
