chemical,chem_id
"n-[3?,4?- dihydroxy-(e)-cinnamoyl]-3-hydroxy-l-tyrosine",
"n-[3?,4?- dihydroxy-(e)-cinnamoyl]-l-tyrosine",
n-[4?-hydroxy-(e)-cinnamoyl]-l-aspartic acid,
n-[4?-hydroxy-(e)-cinnamoyl]- l-glutamic acid,
n-[4?-hydroxy-(e)-cinnamoyl]-3-hydroxy-ltyrosine,
n-[4?- hydroxy-(e)-cinnamoyl]-l-tyrosine,
n- [4?-hydroxy-3?-methoxy-(e)-cinnamoyl]-l-aspartic acid,
"n-[3?,4?-dihydroxy-(e)-cinnamoyl)-l-tryptophan",
n-[4?- hydroxy-(e)-cinnamoyl]-l-tryptophan,
n-[4?-hydroxy-3?-methoxy-(e)- cinnamoyl]-l-tryptophan,
n-[4?-hydroxy3?-methoxy-(e)-cinnamoyl]-l-tyrosine,
aflatoxins b1,
aflatoxins b2,
aflatoxins g1,
aflatoxins g2,
n-phenylpropenoyl-l-amino acids,
fatty acid tryptamides c22,
fatty acid tryptamides c24,
monounsaturated fatty acids,
polyunsaturated fatty acids,
total protein,
carbohydrate by difference,
"fibre, total dietary",
total fat,
35-dimethyl-dihydro-furan-2-one,
"3,5-dihydroxy-6-methyl-2,3-dihydro-pyran-4-one",
35-dimethyl-octane,
8-hydroxy-3-methyl-iso-chroman-1-one,
procyanidin monomers,
procyanidin 2-3-mers,
procyanidin 4-6-mers,
procyanidin 7-10-mers,
procyanidin polymers,
dry matter,
procyanidin trimer 2,
procyanidin trimer 3,
procyanidin trimer 4,
procyanidin tetramer 2,
quercetin glucoside,
n-caffeoyl aspartate,
n-coumaroyl aspartate,
n-caffeoyl hydroytyrosol,
n-caffeoyl tyrosol,
n-coumaroyl tyrosinate,
monomers,
dimers,
trimers,
tetramers,
pentamers,
hexamers,
heptamers,
octamers,
nonamers,
decamers,
polymers,
δ 15nitrogen,
δ 13carbon,
δ 15 nitrogen,
δ 13 carbon,
anit oxidant activity,
(?)-epicatechin,
oligomeric proanthocyanidin,
polycyclic aromatic hydrocarbons,
myristic,
palmitic,
palmitoleic,
stearic,
oleic,
arachidic,
behenic,
monomeric procyanidins,
dimeric procyanidins,
trimeric procyanidins,
tetrameric procyanidins,
pentameric procyanidins,
hexameric procyanidins,
heptameric procyanidins,
octameric procyanidins,
3-methylbutanala,
"dihydro-2-methyl-3(2h)-furanonea,e and hexanal",
"2,3-dimethylpyrazine, 3-hydroxy-2-butanone (acetoine)",
"3(or 2)-ethyl-2(or 3),5-dimethylpyrazine",
oxyde de linalool,
ã¢-phenylethanol,
"2,3,5-trimethyl-6-ethylpyrazine, 3,5-diethyl-2-methylpyrazine",
ethyloctanoate,
r-ethylidene benzene acetaldehyde (2-phenylbut-2-enal),
5-methyl-2-phenyl-2-hexanal,
linolenic,
saturated fat,
monounsaturated fat,
polyunsaturated fat,
palmic,
proanthocyanidin 1,
proanthocyanidin 2,
proanthocyanidin 3,
proanthocyanidin 4-6,
proanthocyanidin 7-10,
proanthocyanidin >10,
"campesteryl stearate, -oleate, -linoleate",
"stigmasteryl stearate, -oleate, -linoleate",
"sitosteryl stearate, -oleate, -linoleate",
hemicellulose,
palmitoyl-oleoyl-palmitoylglycerol,
stearoyl-oleoyl-stearoylglycerol,
δ 13 carbon-6,
δ 13 carbon-7,
